Gruppo
Prealpi Liguri
Alpi del Marguareis
Alpi Marittime
Prealpi di Nizza
Alpi di Provenza
Prealpi di Digne
Prealpi di Grasse
Prealpi di Vaucluse
Alpi del Monviso
Alpi del Monginevro
Alpi del Moncenisio
Alpi delle Grandes Rousses Aiguilles d'Arves
Catena di Belledonne
Massiccio des Écrins
Massiccio del Taillefer
Massiccio del Champsaur
Massiccio dell'Embrunais
Monti orientali di Gap
Prealpi del Devoluy
Prealpi occidentali di Gap
Prealpi del Vercors
Prealpi del Diois
Prealpi delle Baronnies
Alpi di Lanzo Alta Moriana
Alpi della Vanoise Grand Arc
Alpi della Grande Sassière Rutor
Alpi del Gran Paradiso
Alpi del Monte Bianco
Alpi del Beaufortain
Catena delle Aiguilles Rouges
Prealpi del Giffre
Prealpi dello Sciablese
Prealpi dei Bornes
Prealpi dei Bauges
Prealpi della Chartreuse
Alpi del Grand Combin
Alpi del Weisshorn Cervino
Alpi del Monte Rosa
Alpi Biellesi e Cusiane
Alpi del Mischabel Weissmies
Alpi del Monte Leone San Gottardo
Alpi Ticinesi Verbano
Alpi dell'Adula
Prealpi Comasche
Prealpi Varesine
Alpi Urane
Alpi bernesiiss 
Alpi di Vaud
Alpi Urano-Glaronesi
Alpi Glaronesiiss 
Prealpi di Vaud e Friburgo
Prealpi Bernesi
Prealpi di Lucerna Untervaldo
Prealpi di Svitto e di Uri
Prealpi di Appenzello San Gallo
Alpi del Platta
Alpi dell'Albula
Alpi del Bernina
Alpi di Livigno
Alpi della Val Müstair
Alpi del Silvretta Samnaun Verwall
Alpi del Plessur
Catena del Rätikon
Alpi Venoste
Alpi dello Stubai
Alpi Sarentine
Alpi della Zillertal
Alti Tauri
Alpi Pusteresi
Gruppo del Kreuzeck
Tauri di Radstadt
Tauri di Schladming Murau
Tauri di Wölz Rottenmann
Tauri di Seckau
Alpi della Gurktal
Alpi della Lavanttal
Prealpi nord-occidentali di Stiria
Prealpi sud-occidentali di Stiria
Prealpi centrali di Stiria
Prealpi orientali di Stiria
Alpi della Lechtal
Monti delle Lechquellen
Monti di Mieming  Wetterstein
Monti del Karwendel
Alpi di Brandenberg
Monti del Kaiser
Prealpi di Bregenz
Alpi dell'Algovia
Alpi dell'Ammergau
Alpi del Wallgau
Alpi del Mangfall
Alpi del Chiemgau
Prealpi del Tux
Alpi di Kitzbühel
Monti dello Stein
Alpi scistose salisburghesi
Alpi di Berchtesgaden
Monti di Tennen
Monti del Dachstein
Monti del Salzkammergut
Monti Totes
Prealpi dell'Alta Austria
Alpi dell'Ennstal
Alpi Nord-orientali di Stiria
Alpi di Türnitz
Alpi dell'Ybbstal
Prealpi Orientali della Bassa Austria
Alpi dell'Ortles
Alpi della Val di Non
Alpi dell'Adamello Presanella
Dolomiti di Brenta
Alpi Orobie
Prealpi Bergamasche
Prealpi Bresciane
Prealpi Gardesane
Dolomiti di Sesto Braies d'Ampezzo
Dolomiti di Zoldo
Dolomiti di Gardena Fassa
Dolomiti di Feltre Pale di San Martino
Dolomiti di Fiemme
Prealpi Vicentine
Prealpi Bellunesi
Alpi Carniche
Alpi della Gail
Prealpi Carniche
Alpi Giulie
Prealpi Giulie
Caravanche
Alpi di Kamnik Savinja
Prealpi Slovene occidentali
Prealpi Slovene orientali
Prealpi Slovene nord-orientali
Appennino Ligure
Appennino Tosco-Emiliano 
Appennino Umbro-Marchigiano
Appennino Abruzzese
Appennino sannita
Appennino sampano
Appennino lucano
Appennino calabro
Appennino siculo




